Date,Time,Symbol,Direction,Entry,Exit,Stake,Payout,Profit,Result,Martingale Level,Balance Before,Balance After,Win Rate,Strategy,Confidence,Confluence
2025-12-09,16:44:06,R_100,BUY,0.0,610.55,1.2,2.34,1.14,WIN,0,9724.56,9724.56,100.0%,TERMINAL,0.7,50.0
2025-12-09,16:44:30,R_100,SELL,0.0,611.06,1.0,1.95,0.95,WIN,0,9725.51,9725.51,100.0%,TERMINAL,0.7,50.0
2025-12-09,16:44:54,R_100,BUY,0.0,610.43,1.0,1.95,0.95,WIN,0,9726.46,9726.46,100.0%,TERMINAL,0.7,50.0
2025-12-09,16:45:08,R_100,SELL,0.0,609.79,1.2,2.34,1.14,WIN,0,9727.6,9727.6,100.0%,TERMINAL,0.7,50.0
2025-12-09,16:45:24,R_100,BUY,0.0,610.1,1.0,1.95,0.95,WIN,0,9728.55,9728.55,100.0%,TERMINAL,0.7,50.0
2025-12-09,16:46:28,R_100,SELL,0.0,610.49,1.2,2.34,1.14,WIN,0,9729.69,9729.69,100.0%,AMT,0.7,50.0
2025-12-09,16:46:44,R_100,SELL,0.0,609.15,1.2,2.34,1.14,WIN,0,9730.83,9730.83,100.0%,AMT,0.7,50.0
2025-12-09,16:47:02,R_100,BUY,0.0,609.23,1.0,1.95,0.95,WIN,0,9731.78,9731.78,100.0%,AMT,0.7,50.0
2025-12-09,16:47:56,R_100,SELL,0.0,609.06,1.2,2.34,1.14,WIN,0,9732.92,9732.92,100.0%,AMT,0.7,50.0
2025-12-09,16:48:10,R_100,SELL,0.0,609.59,1.2,0,-1.2,LOSS,1,9731.72,9731.72,80.0%,AMT,0.7,50.0
2025-12-09,16:48:24,R_100,SELL,0.0,609.56,2.0,0,-2.0,LOSS,2,9729.72,9729.72,66.7%,AMT,0.7,50.0
2025-12-09,16:48:40,R_100,SELL,0.0,609.19,4.0,7.8100000000000005,3.81,WIN,0,9733.53,9733.53,71.4%,AMT,0.7,50.0
2025-12-09,16:49:02,R_100,BUY,0.0,609.2,1.2,0,-1.2,LOSS,1,9732.33,9732.33,62.5%,AMT,0.7,50.0
2025-12-09,16:49:18,R_100,SELL,0.0,608.8,2.0,3.91,1.91,WIN,0,9734.24,9734.24,66.7%,AMT,0.7,50.0
2025-12-09,16:49:32,R_100,BUY,0.0,608.33,1.0,0,-1.0,LOSS,1,9733.24,9733.24,60.0%,AMT,0.7,50.0
2025-12-09,16:49:46,R_100,BUY,0.0,607.66,2.0,0,-2.0,LOSS,2,9731.24,9731.24,54.5%,AMT,0.7,50.0
2025-12-09,16:50:08,R_100,SELL,0.0,607.86,4.0,0,-4.0,LOSS,3,9727.24,9727.24,50.0%,AMT,0.7,50.0
2025-12-09,16:50:26,R_100,SELL,0.0,608.61,8.0,0,-8.0,LOSS,4,9719.24,9719.24,46.2%,AMT,0.7,50.0
2025-12-09,16:51:08,R_100,BUY,0.0,608.75,16.0,0,-16.0,LOSS,5,9703.24,9703.24,42.9%,AMT,0.7,50.0
2025-12-09,16:54:58,1HZ100V,SELL,0.0,755.97,1.2,0,-1.2,LOSS,1,9502.04,9502.04,0.0%,AMT,0.7,50.0
2025-12-09,16:55:33,1HZ100V,BUY,0.0,757.02,2.0,0,-2.0,LOSS,2,9400.04,9400.04,0.0%,AMT,0.7,50.0
2025-12-09,16:55:46,1HZ100V,SELL,0.0,756.53,4.0,0,-4.0,LOSS,3,9396.04,9396.04,0.0%,AMT,0.7,50.0
2025-12-09,16:55:59,1HZ100V,SELL,0.0,756.8,8.0,0,-8.0,LOSS,4,9288.04,9288.04,0.0%,AMT,0.7,50.0
2025-12-09,16:56:22,1HZ100V,BUY,0.0,757.89,16.0,0,-16.0,LOSS,5,8272.04,8272.04,0.0%,AMT,0.7,50.0
2025-12-09,17:37:22,R_100,SELL,0.0,610.59,1.2,0,-1.2,LOSS,1,9660.82,9660.82,0.0%,AMT,0.7,50.0
2025-12-09,17:37:46,R_100,SELL,0.0,610.51,2.0,0,-2.0,LOSS,2,9658.82,9658.82,0.0%,AMT,0.7,50.0
2025-12-09,17:38:08,R_100,SELL,0.0,609.36,4.0,0,-4.0,LOSS,3,9654.82,9654.82,0.0%,AMT,0.7,50.0
2025-12-09,17:38:24,R_100,SELL,0.0,609.1,8.0,0,-8.0,LOSS,4,9646.82,9646.82,0.0%,AMT,0.7,50.0
2025-12-09,17:39:16,R_100,SELL,0.0,609.47,16.0,49.14,33.14,WIN,0,9679.96,9679.96,20.0%,AMT,0.7,50.0
